Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,375.309998,375.450012,364.820007,368.790009,354.197449,110210800
2021-01-05,368.100006,372.500000,368.049988,371.329987,356.636871,66426200
2021-01-06,369.709991,376.980011,369.119995,373.549988,358.769043,107997700
2021-01-07,376.100006,379.899994,375.910004,379.100006,364.099487,68766800
2021-01-08,380.589996,381.489990,377.100006,381.260010,366.173981,71677200
2021-01-11,377.850006,380.579987,377.720001,378.690002,363.705688,51034700
2021-01-12,378.890015,379.859985,376.359985,378.769989,363.782562,52547700
2021-01-13,378.690002,380.859985,377.850006,379.790009,364.762115,45303600
2021-01-14,380.589996,381.130005,378.100006,378.459991,363.484802,49989100
2021-01-15,376.720001,377.579987,373.700012,375.700012,360.833954,107160000
2021-01-19,378.339996,379.230011,376.750000,378.649994,363.667236,51233300
2021-01-20,381.109985,384.790009,380.690002,383.890015,368.699982,61836100
2021-01-21,384.489990,384.950012,383.250000,384.239990,369.036041,47840100
2021-01-22,382.250000,384.130005,381.839996,382.880005,367.729950,52860500
2021-01-25,383.670013,384.769989,378.459991,384.390015,369.180145,70402000
2021-01-26,385.410004,385.850006,383.540009,383.790009,368.603912,42665300
2021-01-27,380.220001,380.320007,372.010010,374.410004,359.595062,123351100
2021-01-28,376.359985,381.929993,375.890015,377.630005,362.687653,94198100
2021-01-29,375.630005,376.670013,368.269989,370.070007,355.426758,126765100
2021-02-01,373.720001,377.339996,370.380005,376.230011,361.343018,75817600
2021-02-02,379.649994,383.220001,376.320007,381.549988,366.452515,64450700
2021-02-03,382.440002,383.700012,380.480011,381.850006,366.740570,52427100
2021-02-04,382.959991,386.239990,381.970001,386.190002,370.908905,47142600
2021-02-05,388.200012,388.470001,386.140015,387.709991,372.368774,48669800
2021-02-08,389.269989,390.559998,388.350006,390.510010,375.057953,38365200
2021-02-09,389.609985,390.890015,389.170013,390.250000,374.808228,35551100
2021-02-10,392.119995,392.279999,387.500000,390.079987,374.644989,59154400
2021-02-11,391.239990,391.690002,388.100006,390.709991,375.250061,42913300
2021-02-12,389.850006,392.899994,389.769989,392.640015,377.103668,50593300
2021-02-16,393.959991,394.170013,391.529999,392.299988,376.777130,50972400
2021-02-17,390.420013,392.660004,389.329987,392.390015,376.863617,52290600
2021-02-18,389.589996,391.519989,387.739990,390.720001,375.259674,59712800
2021-02-19,392.070007,392.380005,389.549988,390.029999,374.596954,83241000
2021-02-22,387.059998,389.619995,386.739990,387.029999,371.715698,67414200
2021-02-23,384.660004,388.950012,380.200012,387.500000,372.167114,107284100
2021-02-24,386.329987,392.230011,385.269989,391.769989,376.268127,72433900
2021-02-25,390.410004,391.880005,380.779999,382.329987,367.201569,146670500
2021-02-26,384.350006,385.579987,378.230011,380.359985,365.309509,152701600
2021-03-01,385.589996,390.920013,380.570007,389.579987,374.164703,105348800
2021-03-02,389.820007,390.070007,386.000000,386.540009,371.245087,79595300
2021-03-03,385.790009,386.829987,381.309998,381.420013,366.327667,119940200
2021-03-04,381.220001,384.000000,371.880005,376.700012,361.794434,183433000
2021-03-05,380.459991,384.760010,372.640015,383.630005,368.450195,152039600
2021-03-08,384.660004,387.679993,381.420013,381.720001,366.615814,123149200
2021-03-09,385.850006,389.910004,385.309998,387.170013,371.850128,113633600
2021-03-10,389.690002,391.399994,388.170013,389.579987,374.164703,109899400
2021-03-11,392.230011,395.649994,391.739990,393.529999,377.958496,86245000
2021-03-12,392.070007,394.209991,391.200012,394.059998,378.467529,64653600
2021-03-15,394.329987,396.690002,392.029999,396.410004,380.724487,73427200
2021-03-16,397.070007,397.829987,395.079987,395.910004,380.244293,73722500
2021-03-17,394.529999,398.119995,393.299988,397.260010,381.540924,97959300
2021-03-18,394.480011,396.720001,390.750000,391.480011,375.989594,115349100
2021-03-19,389.880005,391.570007,387.149994,389.480011,375.293884,113624500
2021-03-22,390.029999,394.070007,389.970001,392.589996,378.290619,73778600
2021-03-23,391.910004,393.459991,388.660004,389.500000,375.313141,90686600
2021-03-24,391.000000,392.750000,387.470001,387.519989,373.405212,97588600
2021-03-25,385.980011,390.549988,383.899994,389.700012,375.505829,116128600
2021-03-26,390.929993,396.410004,390.290009,395.980011,381.557190,114409100
2021-03-29,394.399994,396.750000,392.809998,395.779999,381.364410,108107600
2021-03-30,394.420013,395.450012,393.019989,394.730011,380.352692,76262200
